,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
29514,Kishundāspur,Kishundaspur,25.3334,87.3318,India,IN,IND,Bihār,,15874.0,1356241529
29517,Udayagiri,Udayagiri,14.8667,79.3167,India,IN,IND,Andhra Pradesh,,15870.0,1356113273
29528,Nidiyanga,Nidiyanga,12.0889,75.4806,India,IN,IND,Kerala,,15859.0,1356286527
29535,Valabhīpur,Valabhipur,21.8878,71.8795,India,IN,IND,Gujarāt,,15852.0,1356696432
29545,Pawai,Pawai,24.2664,80.162,India,IN,IND,Madhya Pradesh,,15845.0,1356453090
29551,Gandevi,Gandevi,20.82,72.98,India,IN,IND,Gujarāt,,15843.0,1356081460
29553,Chhapra Bahās,Chhapra Bahas,26.7266,84.7912,India,IN,IND,Bihār,,15842.0,1356641308
29559,Odaiyakulam,Odaiyakulam,10.5679,76.9105,India,IN,IND,Tamil Nādu,,15838.0,1356162297
29573,Dhusar Tikāpatti,Dhusar Tikapatti,25.5214,87.2212,India,IN,IND,Bihār,,15829.0,1356095493
29574,Srīmushnam,Srimushnam,11.4012,79.4038,India,IN,IND,Tamil Nādu,,15829.0,1356640376
29576,Kodikkulam,Kodikkulam,9.6493,77.586,India,IN,IND,Tamil Nādu,,15824.0,1356216825
29578,Kadamakudi,Kadamakudi,10.0652,76.2451,India,IN,IND,Kerala,,15823.0,1356539438
29594,Tanakpur,Tanakpur,29.074,80.109,India,IN,IND,Uttarākhand,,15810.0,1356824248
29598,Kallūr,Kallur,17.2,80.55,India,IN,IND,Telangāna,,15807.0,1356501492
29613,Cholai,Cholai,12.04,75.46,India,IN,IND,Kerala,,15800.0,1356207232
29620,Pūluvappatti,Puluvappatti,10.963,76.8158,India,IN,IND,Tamil Nādu,,15792.0,1356159468
29621,Dhāni Sukhan,Dhani Sukhan,28.7932,76.0502,India,IN,IND,Haryāna,,15792.0,1356316741
29624,Belaur,Belaur,25.4477,84.6473,India,IN,IND,Bihār,,15789.0,1356591775
29625,Kunithala,Kunithala,11.9,75.7833,India,IN,IND,Kerala,,15789.0,1356074442
29627,Dhūmnagar,Dhumnagar,26.756,84.5233,India,IN,IND,Bihār,,15788.0,1356172124
29629,Vardannāpet,Vardannapet,17.7735,79.5731,India,IN,IND,Telangāna,,15787.0,1356141021
29630,Fatehpur,Fatehpur,29.75,76.55,India,IN,IND,Haryāna,,15787.0,1356045498
